             ObjName  n       RA             DEC
             SA97-42  1      89.28750000     -0.18694444 
            SA97-345  1      89.38816667      0.35455556 
            SA97-351  1      89.40541667      0.22888889 
             SA97-75  1      89.47950000     -0.15791667 
            SA97-284  1      89.60425000      0.08708333 
            SA97-288  1      89.62537500      0.11130556 
            SA97-224  1      89.68333333     -0.08694444 
            Hilt-566  1      98.04029167      3.57900000 
            LHS-1858  1      99.29500000     17.56480556 
            SA98-961  1     102.86237500     -0.26002778 
            SA98-966  1     102.86800000     -0.27366667 
            SA98-556  1     102.87291667     -0.41402778 
            SA98-557  1     102.87295833     -0.41841667 
            SA98-562  1     102.87775000     -0.31630556 
            SA98-563  1     102.87916667     -0.44047222 
            SA98-978  1     102.89054167     -0.19208333 
             SA98-L1  1     102.91258333     -0.44341667 
             SA98-L2  1     102.91883333     -0.36641667 
            SA98-581  1     102.91625000     -0.42830556 
            SA98-580  1     102.91562500     -0.44497222 
             SA98-L3  1     102.92591667     -0.26547222 
             SA98-L4  1     102.92600000     -0.27258333 
           SA98-1002  1     102.92954167     -0.26450000 
            SA98-590  1     102.92904167     -0.37191667 
            SA98-614  1     102.95262500     -0.34236111 
            SA98-618  1     102.95654167     -0.35436111 
            SA98-624  1     102.96579167     -0.33775000 
            SA98-626  1     102.96829167     -0.34533333 
            SA98-627  1     102.97087500     -0.36694444 
            SA98-634  1     102.98225000     -0.34861111 
            SA98-642  1     102.99587500     -0.35877778 
            SA98-185  1     103.00783333     -0.45597222 
            SA98-646  1     103.00950000     -0.35438889 
            SA98-193  1     103.01404167     -0.45508333 
            SA98-653  1     103.02062500     -0.30502778 
            SA98-650  1     103.01883333     -0.32727778 
            SA98-652  1     103.02004167     -0.36541667 
            SA98-666  1     103.04141667     -0.39219444 
            SA98-671  1     103.04929167     -0.30691667 
            SA98-670  1     103.04795833     -0.32116667 
            SA98-676  1     103.05716667     -0.32222222 
            SA98-675  1     103.05554167     -0.32783333 
             SA98-L5  1     103.06454167     -0.32930556 
            SA98-682  1     103.06875000     -0.32800000 
            SA98-685  1     103.07691667     -0.33872222 
            SA98-688  1     103.07862500     -0.39241667 
           SA98-1082  1     103.08408333     -0.23708333 
           SA98-1087  1     103.08787500     -0.26397222 
           SA98-1102  1     103.11641667     -0.22861111 
           SA98-1112  1     103.14537500     -0.25716667 
           SA98-1119  1     103.15291667     -0.24208333 
           SA98-1124  1     103.15850000     -0.27594444 
           SA98-1122  1     103.15645833     -0.28433333 
            SA98-724  1     103.15508333     -0.32230556 
            SA98-733  1     103.16695833     -0.28738889 
             RU149-G  1     111.04970833     -0.53275000 
             RU149-A  1     111.05508333     -0.54802778 
             RU149-F  1     111.05866667     -0.52736111 
            RU149-NN  1     111.05991667     -0.55111111 
             RU149-D  1     111.06408333     -0.54655556 
             RU149-C  1     111.07216667     -0.54044444 
             RU149-B  1     111.07325000     -0.55163889 
             RU149-E  1     111.07670833     -0.52177778 
            LHS-0033  1     111.85204167      5.22580556 
             RU152-F  1     112.47395833     -2.08100000 
             RU152-E  1     112.47600000     -2.09183333 
            RU152-NN  1     112.49362500     -2.11050000 
             RU152-B  1     112.49716667     -2.09927778 
             RU152-A  1     112.50204167     -2.10633333 
             RU152-C  1     112.51091667     -2.09455556 
             RU152-D  1     112.52537500     -2.07708333 
            SA99-438  1     118.97608333     -0.28030556 
            SA99-447  1     119.02783333     -0.34508333 
          BD+75-0325  1     122.70625000     74.96605556 
           BD+8-2015  1     123.92341667      7.61830556 
          BD+54-1216  1     124.84400000     54.08602778 
           GCRV-5757  1     131.02083333     36.24552778 
          BD+25-1981  1     131.10283333     24.79663889 
           SA100-241  1     133.14187500     -0.66350000 
           SA100-162  1     133.31250000     -0.72472222 
           SA100-267  1     133.32500000     -0.69194444 
           SA100-269  1     133.32916667     -0.68611111 
           SA100-280  1     133.39779167     -0.61138889 
           SA100-394  1     133.47712500     -0.53944444 
            PG0918-D  1     140.34141667      2.79130556 
           PG0918-NN  1     140.36766667      2.76736111 
            PG0918-B  1     140.38725000      2.79980556 
            PG0918-A  1     140.39637500      2.77211111 
            PG0918-C  1     140.42637500      2.77700000 
           BD+9-2190  1     142.31479167      8.63350000 
          12-2918-09  1     142.83091667    -13.48869444 
            Ross-889  1     145.17995833      1.00819444 
            PG0942-D  1     146.28595833     -3.09844444 
            PG0942-A  1     146.29129167     -3.17061111 
            PG0942-B  1     146.29825000     -3.11613889 
           PG0942-NN  1     146.29933333     -3.15586111 
            PG0942-C  1     146.30991667     -3.11119444 
           SA101-315  1     148.71366667     -0.45863889 
           SA101-316  1     148.71679167     -0.30955556 
            SA101-L1  1     148.87083333     -0.36027778 
           SA101-320  1     148.88750000     -0.37527778 
            SA101-L2  1     148.89583333     -0.31333333 
           SA101-404  1     148.92083333     -0.30583333 
           SA101-324  1     148.98750000     -0.38722222 
           SA101-262  1     149.03375000     -0.49733333 
           SA101-408  1     149.03333333     -0.21111111 
           SA101-326  1     149.03383333     -0.45291667 
           SA101-410  1     149.03750000     -0.23388889 
           SA101-327  1     149.03700000     -0.43141667 
           SA101-413  1     149.05833333     -0.19888889 
           SA101-268  1     149.07233333     -0.53252778 
           SA101-330  1     149.08587500     -0.45602778 
           SA101-415  1     149.09583333     -0.28111111 
           SA101-270  1     149.11250000     -0.59527778 
           SA101-278  1     149.22916667     -0.49388889 
            SA101-L3  1     149.22916667     -0.50750000 
           SA101-281  1     149.27066667     -0.52830556 
            SA101-L4  1     149.28333333     -0.52444444 
            SA101-L5  1     149.29583333     -0.52694444 
           SA101-421  1     149.31716667     -0.28833333 
           SA101-338  1     149.32404167     -0.35000000 
           SA101-339  1     149.32666667     -0.41708333 
           SA101-424  1     149.33454167     -0.27380556 
           SA101-427  1     149.36020833     -0.28800000 
           SA101-341  1     149.37433333     -0.36486111 
           SA101-342  1     149.38012500     -0.36411111 
           SA101-343  1     149.38050000     -0.38197222 
           SA101-429  1     149.38229167     -0.30419444 
           SA101-431  1     149.40558333     -0.29808333 
            SA101-L6  1     149.41483333     -0.29825000 
           SA101-207  1     149.46866667     -0.79344444 
           SA101-363  1     149.57916667     -0.42638889 
            GD108-NN  1     150.19583333     -7.55861111 
             G162-66  1     158.42711        -11.69392         
              G44-27  1     159.00833333      5.11972222 
          PG1034-001  1     159.26666667     -0.13888889 
            Feige-34  1     159.90304167     43.10255556 
              G163-6  1     160.72916667      2.78944444 
          BD+29-2091  1     161.84650000     28.39888889 
           PG1047-NN  1     162.51179167     -0.01016667 
            PG1047-A  1     162.52358333     -0.01972222 
            PG1047-B  1     162.53304167     -0.03450000 
            PG1047-C  1     162.55704167     -0.00894444 
            Ross-106  1     162.62075000     56.44194444 
              G44-40  1     162.72500000      6.81583333 
           SA102-620  1     163.77500000     -0.80527778 
              G45-20  1     164.15833333      7.03972222 
          SA102-1081  1     164.26666667     -0.21944444 
             G163-27  1     164.39583333     -7.52305556 
             G163-50  1     166.99995833     -5.15893889 
             G163-51  1     167.02737500     -5.23142778 
            WOLF-365  1     167.75000000      6.41980556 
           GCRV-7017  1     173.09712500     76.65502778 
              G10-50  1     176.93333333      0.81527778 
          BD-21-3420  1     178.86854167    -22.38702778 
           SA103-302  1     179.02500000     -0.79833333 
           SA103-626  1     179.19225000     -0.38738889 
           SA103-526  1     179.22575000     -0.50375000 
            Ross-453  1     182.73237500      0.39841667 
              G12-43  1     188.33333333      9.01888889 
            Feige-66  1     189.34800000     25.06663889 
           SA104-306  1     190.26504167     -0.62022222 
           SA104-423  1     190.39987500     -0.51975000 
           SA104-428  1     190.42220833     -0.44050000 
            SA104-L1  1     190.42254167     -0.37227778 
           SA104-430  1     190.45962500     -0.43116667 
           SA104-325  1     190.50937500     -0.69322222 
           SA104-330  1     190.54775000     -0.67802778 
           SA104-440  1     190.56016667     -0.41272222 
           SA104-237  1     190.57041667     -0.85497222 
            SA104-L2  1     190.58191667     -0.57325000 
           SA104-443  1     190.58270833     -0.42250000 
           SA104-444  1     190.58358333     -0.54108333 
           SA104-335  1     190.58725000     -0.55222222 
           SA104-334  1     190.58525000     -0.67444444 
           SA104-239  1     190.59562500     -0.77641667 
           SA104-336  1     190.60279167     -0.66605556 
           SA104-338  1     190.62575000     -0.64225000 
           SA104-339  1     190.63891667     -0.69430556 
           SA104-244  1     190.64279167     -0.76294444 
           SA104-455  1     190.71729167     -0.40480556 
           SA104-456  1     190.72333333     -0.53363889 
           SA104-457  1     190.72595833     -0.48008333 
           SA104-460  1     190.76204167     -0.47183333 
           SA104-461  1     190.77525000     -0.53827778 
           SA104-350  1     190.80916667     -0.55552778 
           SA104-470  1     190.84316667     -0.49791667 
           SA104-364  1     190.94175000     -0.57530556 
           SA104-366  1     190.97208333     -0.58050000 
           SA104-479  1     190.98037500     -0.54697222 
           SA104-367  1     190.99358333     -0.55933333 
           SA104-484  1     191.08558333     -0.51508333 
           SA104-485  1     191.09925000     -0.50452778 
           SA104-490  1     191.13945833     -0.43102778 
           SA104-598  1     191.31991667     -0.27788889 
            Ross-484  1     199.73629167     -3.07166667 
            LTT-5137  1     200.09862500     -3.02827778 
           GCRV-7951  1     200.44833333     74.20913889 
           PG1323-NN  1     201.41450000     -8.82188889 
            PG1323-A  1     201.45725000     -8.83977778 
            PG1323-C  1     201.45929167     -8.81075000 
            PG1323-B  1     201.46112500     -8.84855556 
            PG1323-D  1     201.52200000     -8.84333333 
              G14-55  1     202.08787500     -2.36019444 
           SA105-505  1     203.85416667     -0.39388889 
         BD+30-2428B  1     204.30750000     30.08727778 
           SA105-437  1     204.32083333     -0.63222222 
           SA105-815  1     205.01041667     -0.03855556 
             +2-2711  1     205.57920833      1.50516667 
           121968-NN  1     209.71320833     -2.91452778 
            Ross-838  1     210.43529167      8.92150000 
           PG1407-NN  1     212.60833333     -1.50361111 
          SA106-1024  1     220.02916667      0.02916667 
           SA106-700  1     220.21666667     -0.39333333 
          BD+26-2606  1     222.25979167     25.70255556 
           GCRV-8758  1     226.92241667     32.41033333 
           PG1514-NN  1     229.30833333      3.17416667 
           PG1525-NN  1     232.04858333     -7.27600000 
            PG1525-D  1     232.04991667     -7.27744444 
            PG1525-A  1     232.05587500     -7.26691667 
            PG1525-B  1     232.06000000     -7.27030556 
            PG1525-C  1     232.06875000     -7.24175000 
            PG1528-B  1     232.66479167      6.02030556 
              G15-24  1     232.67400000      8.39455556 
            PG1528-A  1     232.70416667      6.02333333 
           PG1528-NN  1     232.70833333      6.01555556 
            PG1528-C  1     232.73333333      6.00194444 
            PG1530-A  1     233.29166667      5.56250000 
           PG1530-NN  1     233.29583333      5.54083333 
            PG1530-B  1     233.32500000      5.56333333 
           SA107-970  1     234.35762500      0.30936111 
           SA107-568  1     234.46966667     -0.28813889 
          SA107-1006  1     234.63908333      0.23869444 
           SA107-720  1     234.65408333     -0.04019444 
           SA107-456  1     234.67808333     -0.32969444 
           SA107-457  1     234.69487500     -0.33750000 
           SA107-351  1     234.69070833     -0.53497222 
           SA107-592  1     234.70995833     -0.28583333 
           SA107-458  1     234.70929167     -0.40727778 
           SA107-459  1     234.71175000     -0.37600000 
           SA107-212  1     234.73366667     -0.75875000 
           SA107-215  1     234.74025000     -0.71841667 
           SA107-213  1     234.74037500     -0.73747222 
           SA107-357  1     234.77283333     -0.65327778 
           SA107-599  1     234.78945833     -0.24122222 
           SA107-359  1     234.78766667     -0.59400000 
           SA107-600  1     234.79195833     -0.26413889 
           SA107-601  1     234.80787500     -0.22433333 
           SA107-602  1     234.82870833     -0.25822222 
           SA107-612  1     234.89766667     -0.25200000 
           SA107-611  1     234.89620833     -0.20986111 
           SA107-614  1     234.92145833     -0.21958333 
           SA107-626  1     235.02229167     -0.29130556 
           SA107-627  1     235.03108333     -0.28958333 
           SA107-484  1     235.07008333     -0.35405556 
           SA107-636  1     235.16875000     -0.24805556 
           SA107-639  1     235.18662500     -0.28611111 
           SA107-640  1     235.20491667     -0.27980556 
          BD+33-2642  1     237.99950000     32.94841667 
             G153-41  1     244.47916667    -15.59777778 
            Ross-530  1     244.96525000     22.63894444 
             G138-25  1     246.30833333     15.68750000 
           GCRV-9483  1     247.07029167     44.67730556 
          12-4523-16  1     247.57500000    -12.65222222 
           PG1633-NN  1     248.85012500      9.79727778 
            PG1633-A  1     248.85829167      9.79816667 
            PG1633-B  1     248.88879167      9.77247222 
            PG1633-C  1     248.90533333      9.77111111 
            PG1633-D  1     248.91704167      9.77827778 
           SA108-719  1     249.04616667     -0.42466667 
          SA108-1848  1     249.24166667      0.09916667 
           SA108-475  1     249.25250000     -0.57750000 
          SA108-1863  1     249.30416667      0.04277778 
           SA108-551  1     249.44912500     -0.55141667 
          SA108-1918  1     249.45833333     -0.01027778 
           SA108-981  1     249.82083333     -0.41888889 
           PG1647-NN  1     252.57500000      5.54805556 
            WOLF-629  1     253.85691667     -8.32030556 
           PG1657-NN  1     254.88433333      7.72550000 
            PG1657-B  1     254.88333333      7.70213889 
            PG1657-A  1     254.88845833      7.70550000 
            PG1657-C  1     254.89704167      7.70744444 
           4-4226-17  1     256.31250000     -5.08472222 
          BD+18-3407  1     263.83287500     18.88355556 
           BD+2-3375  1     264.93995833      2.41655556 
            SA109-71  1     266.02825000     -0.41605556 
           SA109-381  1     266.05108333     -0.34241667 
           SA109-949  1     266.05675000     -0.04105556 
           SA109-954  1     266.06604167     -0.03775000 
           SA109-956  1     266.07295833     -0.04202778 
           SA109-199  1     266.25833333     -0.49111111 
           SA109-231  1     266.33312500     -0.43100000 
           SA109-537  1     266.42687500     -0.35983333 
            Hilt-733  1     274.34716667    -11.74930556 
              G21-15  1     276.80416667      4.05138889 
            Ross-711  1     278.82987500     28.69869444 
           SA110-496  1     280.74712500      0.51927778 
           SA110-497  1     280.76050000      0.51586111 
           SA110-499  1     280.78195833      0.46716667 
           SA110-502  1     280.79216667      0.46186111 
           SA110-504  1     280.79887500      0.50141667 
           SA110-503  1     280.79879167      0.49538889 
           SA110-506  1     280.82891667      0.50766667 
           SA110-507  1     280.82975000      0.49072222 
             GJ-745A  1     286.77320833     20.88802778 
             GJ-745B  1     286.80495833     20.87700000 
          BD+35-3659  1     292.78841667     36.15280556 
           SA111-775  1     294.31820833      0.20161111 
           SA111-773  1     294.31666667      0.18305556 
          SA111-1925  1     294.36937500      0.41755556 
          SA111-1965  1     294.42316667      0.44752778 
          SA111-1969  1     294.43037500      0.43022222 
          SA111-2039  1     294.51912500      0.53688889 
          SA111-2088  1     294.58862500      0.51680556 
          SA111-2093  1     294.59779167      0.52380556 
           WOLF-1346  1     308.59120833     25.06380556 
           SA112-595  1     310.32695833      0.27447222 
           SA112-704  1     310.50866667      0.31908333 
           SA112-223  1     310.56079167      0.15002778 
           SA112-250  1     310.61000000      0.12858333 
           SA112-275  1     310.64766667      0.12238889 
           SA112-805  1     310.69483333      0.26897222 
           SA112-822  1     310.72875000      0.25052778 
              MARK-2  1     310.97916667    -10.75858333 
              MARK-1  1     310.99358333    -10.78661111 
             MARK-NN  1     310.99675000    -10.79480556 
              MARK-3  1     311.01591667    -10.76038889 
            WOLF-918  1     317.87500000    -13.13944444 
          BD+62-1916  1     318.77391667     62.84108333 
               G26-7  1     322.81666667     -9.79111111 
           SA113-440  1     325.14583333      0.69583333 
           SA113-221  1     325.15000000      0.35000000 
            SA113-L1  1     325.19741667      0.47638889 
           SA113-337  1     325.20608333      0.46613889 
           SA113-339  1     325.23200000      0.46616667 
           SA113-233  1     325.24583333      0.36666667 
           SA113-342  1     325.24937500      0.46025000 
           SA113-239  1     325.27916667      0.37555556 
           SA113-241  1     325.28833333      0.43013889 
           SA113-245  1     325.30416667      0.36416667 
           SA113-459  1     325.31250000      0.71777778 
           SA113-250  1     325.35000000      0.34472222 
           SA113-466  1     325.36412500      0.67100000 
           SA113-259  1     325.43683333      0.29441667 
           SA113-260  1     325.45012500      0.39813889 
           SA113-475  1     325.46375000      0.65577778 
           SA113-263  1     325.47083333      0.42694444 
           SA113-265  1     325.47083333      0.30055556 
           SA113-366  1     325.47500000      0.48916667 
           SA113-268  1     325.48750000      0.33138889 
            SA113-34  1     325.49583333      0.01861111 
           SA113-372  1     325.50833333      0.47666667 
           SA113-149  1     325.52500000      0.15750000 
           SA113-153  1     325.53750000      0.25166667 
           SA113-272  1     325.58750000      0.35111111 
           SA113-158  1     325.59166667      0.23583333 
           SA113-156  1     325.59166667      0.20166667 
           SA113-491  1     325.60416667      0.73138889 
           SA113-492  1     325.61666667      0.63916667 
           SA113-493  1     325.62083333      0.63611111 
           SA113-495  1     325.62500000      0.63527778 
           SA113-163  1     325.64583333      0.27944444 
           SA113-165  1     325.65833333      0.25944444 
           SA113-281  1     325.66250000      0.31666667 
           SA113-167  1     325.67083333      0.26888889 
           SA113-177  1     325.73333333      0.24611111 
           SA113-182  1     325.78333333      0.24750000 
           SA113-187  1     325.83587500      0.28169444 
           SA113-189  1     325.86454167      0.28922222 
           SA113-307  1     325.87500000      0.30055556 
           SA113-191  1     325.88991667      0.26519444 
           SA113-195  1     325.91666667      0.28944444 
          BD+28-4211  1     327.79591667     28.86400000 
              G93-48  1     328.10558333      2.38787778 
          BD+25-4655  1     329.92483333     26.43258333 
           Hilt-1089  1     332.33695833     57.85788889 
          BD+17-4708  1     332.88070833     18.09280556 
          BD-11-5781  1     333.29450000    -11.17733333 
            PG2213-C  1     334.07358333     -0.37061111 
            PG2213-B  1     334.09050000     -0.36336111 
            PG2213-A  1     334.09654167     -0.35733333 
           PG2213-NN  1     334.11808333     -0.35347222 
             G156-31  1     339.61666667    -15.32138889 
           SA114-531  1     340.15325000      0.86544444 
           SA114-637  1     340.17916667      1.05277778 
           SA114-446  1     340.26666667      0.76777778 
           SA114-654  1     340.35891667      1.17002778 
           SA114-656  1     340.39620833      1.18633333 
           SA114-548  1     340.40345833      0.98491667 
           SA114-750  1     340.43637500      1.21027778 
           SA114-670  1     340.53841667      1.17119444 
           SA114-176  1     340.79583333      0.35444444 
              G27-45  1     341.23458333     -2.35355556 
             G156-57  1     343.31666667    -14.26055556 
            Ross-786  1     347.38891667      0.71725000 
            GD246-NN  1     348.09008333     10.78458333 
          BD+38-4955  1     348.41170833     39.41738889 
               F-108  1     349.05000000     -1.84305556 
           PG2317-NN  1     349.97916667      4.87638889 
           PG2331-NN  1     353.43533333      5.77788889 
            PG2331-A  1     353.45575000      5.78144444 
            PG2331-B  1     353.46304167      5.75263889 
          BD+33-4737  1     353.65054167     34.03950000 
            PG2336-B  1     354.65941667      0.71288889 
            PG2336-A  1     354.67916667      0.70666667 
           PG2336-NN  1     354.68333333      0.71527778 
           SA115-554  1     355.37916667      1.44055556 
           SA115-486  1     355.38750000      1.27916667 
           SA115-412  1     355.50416667      1.15027778 
           SA115-268  1     355.62500000      0.86972222 
           SA115-420  1     355.65200000      1.09966667 
           SA115-271  1     355.67083333      0.75277778 
           SA115-516  1     356.06408333      1.23680556 
           PG2349-NN  1     357.97083333      0.47138889 
	           SJ9101  1     6.11901           7.81711   
              SJ9103  1     8.31178           -39.40308
              SJ9104  1     15.81715          -4.34666 
              SJ9105  1      38.38431         6.42700 
              SJ9106  1      51.72784583    -39.84739167
	      SJ9108  1	     55.260000        6.936944
              SJ9109  1      64.57888750    -69.45967500
	      SJ9111  1	      72.47599 -35.18708 
              SJ9113  1       77.60724 -44.87867
              SJ9115  1      84.18598750    -34.77695556 
              SJ9116  1      85.63385417      0.15056667 
              SJ9118  1      95.68262917     -0.60808889 
              SJ9119  1      97.37132500    -59.65855000 
              SJ9121  1     100.65146       -45.15186 
	      SJ9123  1	    104.94000       -30.22889
 	      SJ9125  1     109.910833      -84.585000
	      SJ9126  1     112.64381        29.85348
	      SJ9129  1     120.31417       -50.32583 
              SJ9132  1     126.39805417    -39.09905556 
              SJ9133  1     126.80369167    -25.13300556 
	      SJ9134  1	    127.35468	    5.93581
              SJ9135  1     129.05268750    -10.22695833 
              SJ9136  1     133.58911667    -54.80302222 
	      SJ9137  1     138.96042       -36.54278 
              SJ9138  1     145.39959583      0.55398889 
              SJ9140  1     146.42977083    -45.82710278 
              SJ9141  1     147.23480000    -10.50886111 
              SJ9143  1     158.46540000      4.81767222 
              SJ9144  1     161.84965833    -44.56826667 
	      SJ9146  1     180.43833       -50.05278
              SJ9147  1     180.87926667    -69.08012222 
              SJ9149  1     185.41392917     -0.11994722 
              SJ9150  1     199.37227917     -5.54409444 
	      SJ9153  1     211.89071        12.39755  
              SJ9154  1     215.90375        -84.17797 
              SJ9155  1     220.24142917     -0.46281667 
              SJ9157  1     224.21410833    -44.82072222
	      SJ9160  1	    234.76740000      0.2507875
              SJ9164  1     246.67860000      5.87327222 
              SJ9170  1     261.84270000     -0.32314167 
              SJ9172  1     267.09253750    -45.42910556 
	      SJ9173  1	    274.67917       -80.11525   
              SJ9175  1     277.03562917    -69.43416667 
              SJ9178  1     285.48093750     -4.48658611 
              SJ9181  1     307.83156250    -49.64678889 
              SJ9182  1     310.27270        -5.06210 
              SJ9183  1     313.19735000      6.66803889 
              SJ9185  1     330.52398750     -1.10048333
	      SJ9186  1	    349.541667	      0.548889 
              SJ9187  1     350.89317083    -15.35263889 
	RS01		1   6.10250 -01.97278 
	RS02		1  46.00833 +00.76444 
	RS03		1   66.5825 3.605592
	RS04		1  85.04375 -07.46056 
	RS05		1  85.06417 -07.47944 
	RS06		1 128.1277 -1.579452  
	RS07		1 170.45500 -13.21944 
	RS08		1 187.8054 -63.67102  
	RS09		1 187.8191 -63.66848  
